latitude,longitude,brightness,frp,bright_t31,acq_date,acq_time,satellite,confidence,daynight,NOM_DEP,NOM_PROV,NOM_MUN,HECTARES
-14.86639,-66.34186,316.45,1.52,287.62,2024-10-14,511,N20,n,N,Beni,General Jose Ballivi,San Borja,1348856.721
-15.70842,-60.72091,338.19,4.03,291.23,2024-06-15,556,N,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.70381,-60.04548,308.15,3.41,292.77,2024-09-04,602,N20,n,N,Santa Cruz,Velasco,San Rafael,973100.718
-16.50068,-59.55427,345.34,68.2,305.25,2024-08-05,1757,N20,n,D,Santa Cruz,Velasco,San Rafael,973100.718
-16.13843,-61.21867,338.52,5.58,302.97,2024-07-02,1810,N,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-14.81258,-62.33472,342.04,6.16,291.52,2024-10-04,458,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.38472,-63.47632,305.96,1.5,289.07,2024-08-27,448,N,n,N,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-15.79186,-61.13535,325.5,2.64,298.82,2024-08-22,506,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-17.11946,-60.19856,341.61,14.96,291.18,2024-09-20,1833,N20,n,D,Santa Cruz,Velasco,San Rafael,973100.718
-16.56861,-63.48349,346.21,8.01,303.8,2024-08-14,1828,N20,n,D,Santa Cruz,Obispo Santisteban,San Pedro,308117.248
-16.8584,-60.0188,318.4,12.1,298.7,2024-09-12,609,Aqua,38,N,Santa Cruz,Velasco,San Rafael,973100.718
-13.85668,-60.53563,301.29,1.59,269.99,2024-10-12,548,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.4368,-62.64727,327.29,3.87,296.11,2024-08-20,543,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.47787,-59.63765,345.48,5.7,301.75,2024-09-04,1810,N,n,D,Santa Cruz,Chiquitos,San Jose de Chiquitos,1912059.482
-15.91398,-61.46923,341.72,11.64,291.03,2024-11-05,459,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.14453,-64.58998,338.51,10.06,296.87,2024-10-02,513,N,n,N,Santa Cruz,Ichilo,Yapacaní,951411.755
-11.54198,-65.27185,330.4,7.61,292.08,2024-10-03,452,N,n,N,Beni,Vaca Diez,Guayaramerín,650218.903
-13.77285,-64.38548,346.68,17.13,303.79,2024-07-22,1720,N20,n,D,Beni,Mamore,San Ramón,1007855.847
-15.88579,-60.85528,306.7,1.63,291.08,2024-08-28,453,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-14.91974,-60.62942,305.45,1.84,291.84,2024-09-06,500,N,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-13.73272,-63.85158,298.34,1.42,286.61,2024-07-16,459,N20,n,N,Beni,Itenez,Huacaraje,446422.634
-12.66992,-63.13171,351.06,8.66,292.29,2024-09-17,517,N20,n,N,Beni,Itenez,Magdalena,1363449.184
-16.29234,-59.70304,353.56,5.36,315.47,2024-09-07,1737,N20,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.80712,-61.89772,345.61,19.6,299.58,2024-08-11,1744,N20,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-14.75636,-63.46783,312.3,2.72,296.86,2024-09-22,500,N,n,N,Santa Cruz,Guarayos,Urubicha,1046999.667
-14.66757,-62.84404,330.44,6.48,297.27,2024-10-06,1810,N,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.43776,-60.68239,355.04,19.47,301.95,2024-08-18,1713,N20,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
